Date,W/L,W-L,Rank,Attendance,Streak,Prev_W/L,Prev_W-L,Prev_Rank,Prev_Streak,Prev_IsOvertime,Winning_Rate,Day,Month
"Tuesday, Sep 7",W,61-77,5.0,10448.0,3.0,W,60-77,5.0,2.0,0.0,0.43795620437956206,Tuesday,Sep
"Wednesday, Sep 8",W,62-77,4.0,11037.0,4.0,W,61-77,5.0,3.0,0.0,0.4420289855072464,Wednesday,Sep
"Thursday, Sep 9",L,62-78,5.0,11846.0,-1.0,W,62-77,4.0,4.0,0.0,0.4460431654676259,Thursday,Sep
"Friday, Sep 10",L,62-79,5.0,20803.0,-2.0,L,62-78,5.0,-1.0,0.0,0.44285714285714284,Friday,Sep
"Saturday, Sep 11",W,63-79,5.0,19532.0,1.0,L,62-79,5.0,-2.0,0.0,0.4397163120567376,Saturday,Sep
"Sunday, Sep 12",L,63-80,5.0,19496.0,-1.0,W,63-79,5.0,1.0,0.0,0.44366197183098594,Sunday,Sep
"Monday, Sep 13",L,63-81,5.0,31528.0,-2.0,L,63-80,5.0,-1.0,0.0,0.4405594405594406,Monday,Sep
"Tuesday, Sep 14 (1)",L,63-82,5.0,15319.0,-3.0,L,63-81,5.0,-2.0,1.0,0.4375,Tuesday,Sep
"Tuesday, Sep 14 (2)",W,64-82,5.0,18905.0,1.0,L,63-82,5.0,-3.0,0.0,0.43448275862068964,Tuesday,Sep
"Wednesday, Sep 15",L,64-83,5.0,14222.0,-1.0,W,64-82,5.0,1.0,0.0,0.4383561643835616,Wednesday,Sep
"Friday, Sep 17",W,65-83,5.0,14798.0,1.0,L,64-83,5.0,-1.0,0.0,0.43537414965986393,Friday,Sep
"Saturday, Sep 18",L,65-84,5.0,14722.0,-1.0,W,65-83,5.0,1.0,0.0,0.4391891891891892,Saturday,Sep
"Sunday, Sep 19",L,65-85,5.0,14601.0,-2.0,L,65-84,5.0,-1.0,0.0,0.436241610738255,Sunday,Sep
"Tuesday, Sep 21",W,66-85,5.0,25594.0,1.0,L,65-85,5.0,-2.0,0.0,0.43333333333333335,Tuesday,Sep
"Wednesday, Sep 22",W,67-85,5.0,24402.0,2.0,W,66-85,5.0,1.0,0.0,0.4370860927152318,Wednesday,Sep
"Thursday, Sep 23",W,68-85,5.0,15509.0,,W,67-85,5.0,2.0,0.0,0.4407894736842105,Thursday,Sep
"Friday, Sep 24",W,69-85,5.0,18861.0,4.0,W,68-85,5.0,,0.0,0.4444444444444444,Friday,Sep
"Saturday, Sep 25",L,69-86,5.0,27183.0,-1.0,W,69-85,5.0,4.0,0.0,0.44805194805194803,Saturday,Sep
"Sunday, Sep 26",L,69-87,5.0,20676.0,-2.0,L,69-86,5.0,-1.0,0.0,0.44516129032258067,Sunday,Sep
"Tuesday, Sep 28",W,70-87,5.0,16329.0,1.0,L,69-87,5.0,-2.0,0.0,0.4423076923076923,Tuesday,Sep
"Wednesday, Sep 29",W,71-87,5.0,17254.0,2.0,W,70-87,5.0,1.0,0.0,0.445859872611465,Wednesday,Sep
"Thursday, Sep 30",L,71-88,5.0,21186.0,-1.0,W,71-87,5.0,2.0,0.0,0.44936708860759494,Thursday,Sep
"Friday, Oct 1",L,71-89,5.0,14293.0,-2.0,L,71-88,5.0,-1.0,0.0,0.44654088050314467,Friday,Oct
"Saturday, Oct 2",W,72-89,5.0,22321.0,1.0,L,71-89,5.0,-2.0,0.0,0.44375,Saturday,Oct
"Sunday, Oct 3",W,73-89,5.0,17158.0,2.0,W,72-89,5.0,1.0,0.0,0.4472049689440994,Sunday,Oct
"Friday, Apr 8",L,0-1,3.0,35462.0,-1,,0-0,,,,,Friday,Apr
"Saturday, Apr 9",L,0-2,4.0,20867.0,-2,L,0-1,3.0,-1.0,0.0,0.0,Saturday,Apr
"Sunday, Apr 10",W,1-2,3.0,17018.0,1,L,0-2,4.0,-2.0,0.0,0.0,Sunday,Apr
"Monday, Apr 11",W,2-2,2.0,12932.0,2,W,1-2,3.0,1.0,0.0,0.3333333333333333,Monday,Apr
"Tuesday, Apr 12",L,2-3,3.0,16732.0,-1,W,2-2,2.0,2.0,0.0,0.5,Tuesday,Apr
"Wednesday, Apr 13",L,2-4,4.0,17101.0,-2,L,2-3,3.0,-1.0,0.0,0.4,Wednesday,Apr
"Friday, Apr 15",W,3-4,4.0,36266.0,1,L,2-4,4.0,-2.0,0.0,0.3333333333333333,Friday,Apr
"Saturday, Apr 16",L,3-5,4.0,34990.0,-1,W,3-4,4.0,1.0,0.0,0.42857142857142855,Saturday,Apr
"Sunday, Apr 17",L,3-6,5.0,28858.0,-2,L,3-5,4.0,-1.0,0.0,0.375,Sunday,Apr
"Monday, Apr 18",W,4-6,4.0,32514.0,1,L,3-6,5.0,-2.0,0.0,0.3333333333333333,Monday,Apr
"Tuesday, Apr 19",L,4-7,5.0,10003.0,-1,W,4-6,4.0,1.0,0.0,0.4,Tuesday,Apr
"Wednesday, Apr 20",L,4-8,5.0,8969.0,-2,L,4-7,5.0,-1.0,0.0,0.36363636363636365,Wednesday,Apr
"Thursday, Apr 21",W,5-8,5.0,15540.0,1,L,4-8,5.0,-2.0,0.0,0.3333333333333333,Thursday,Apr
"Friday, Apr 22",W,6-8,3.0,14257.0,2,W,5-8,5.0,1.0,0.0,0.38461538461538464,Friday,Apr
"Saturday, Apr 23",W,7-8,2.0,16686.0,3,W,6-8,3.0,2.0,0.0,0.42857142857142855,Saturday,Apr
"Sunday, Apr 24",W,8-8,1.0,16197.0,4,W,7-8,2.0,3.0,0.0,0.4666666666666667,Sunday,Apr
"Tuesday, Apr 26",W,9-8,1.0,11803.0,5,W,8-8,1.0,4.0,1.0,0.5,Tuesday,Apr
"Wednesday, Apr 27",W,10-8,1.0,11829.0,6,W,9-8,1.0,5.0,1.0,0.5294117647058824,Wednesday,Apr
"Thursday, Apr 28",W,11-8,1.0,19365.0,7,W,10-8,1.0,6.0,0.0,0.5555555555555556,Thursday,Apr
"Friday, Apr 29",L,11-9,1.0,9928.0,-1,W,11-8,1.0,7.0,0.0,0.5789473684210527,Friday,Apr
"Saturday, Apr 30",W,12-9,1.0,18846.0,1,L,11-9,1.0,-1.0,0.0,0.55,Saturday,Apr
"Sunday, May 1",W,13-9,1.0,14830.0,2,W,12-9,1.0,1.0,0.0,0.5714285714285714,Sunday,May
"Monday, May 2",W,14-9,1.0,7427.0,3,W,13-9,1.0,2.0,0.0,0.5909090909090909,Monday,May
"Tuesday, May 3",W,15-9,1.0,6678.0,4,W,14-9,1.0,3.0,0.0,0.6086956521739131,Tuesday,May
"Wednesday, May 4",L,15-10,1.0,7466.0,-1,W,15-9,1.0,4.0,0.0,0.625,Wednesday,May
"Thursday, May 5",L,15-11,1.0,8652.0,-2,L,15-10,1.0,-1.0,0.0,0.6,Thursday,May
"Friday, May 6",W,16-11,1.0,17509.0,1,L,15-11,1.0,-2.0,0.0,0.5769230769230769,Friday,May
"Saturday, May 7",W,17-11,1.0,22272.0,2,W,16-11,1.0,1.0,0.0,0.5925925925925926,Saturday,May
"Sunday, May 8",W,18-11,1.0,14295.0,3,W,17-11,1.0,2.0,0.0,0.6071428571428571,Sunday,May
"Tuesday, May 10",L,18-12,1.0,16156.0,-1,W,18-11,1.0,3.0,0.0,0.6206896551724138,Tuesday,May
"Thursday, May 12",L,18-14,1.0,16918.0,-3,L,18-12,1.0,-1.0,0.0,0.6,Thursday,May
"Friday, May 13",W,19-14,1.0,18711.0,1,L,18-14,1.0,-3.0,0.0,0.5625,Friday,May
"Saturday, May 14",L,19-15,1.0,22939.0,-1,W,19-14,1.0,1.0,0.0,0.5757575757575758,Saturday,May
"Sunday, May 15",W,20-15,1.0,19850.0,1,L,19-15,1.0,-1.0,0.0,0.5588235294117647,Sunday,May
"Monday, May 16",W,21-15,1.0,3138.0,2,W,20-15,1.0,1.0,0.0,0.5714285714285714,Monday,May
"Tuesday, May 17",L,21-16,1.0,3640.0,-1,W,21-15,1.0,2.0,0.0,0.5833333333333334,Tuesday,May
"Wednesday, May 18",W,22-16,1.0,7106.0,1,L,21-16,1.0,-1.0,0.0,0.5675675675675675,Wednesday,May
"Friday, May 20",W,23-16,1.0,25337.0,2,W,22-16,1.0,1.0,0.0,0.5789473684210527,Friday,May
"Saturday, May 21",W,24-16,1.0,17893.0,3,W,23-16,1.0,2.0,0.0,0.5897435897435898,Saturday,May
"Sunday, May 22",W,25-16,1.0,15482.0,4,W,24-16,1.0,3.0,0.0,0.6,Sunday,May
"Monday, May 23",W,26-16,1.0,16361.0,5,W,25-16,1.0,4.0,0.0,0.6097560975609756,Monday,May
"Tuesday, May 24",W,27-16,1.0,17882.0,6,W,26-16,1.0,5.0,1.0,0.6190476190476191,Tuesday,May
"Wednesday, May 25",L,27-17,1.0,20375.0,-1,W,27-16,1.0,6.0,0.0,0.627906976744186,Wednesday,May
"Thursday, May 26",L,27-18,1.0,17657.0,-2,L,27-17,1.0,-1.0,0.0,0.6136363636363636,Thursday,May
"Friday, May 27",W,28-18,1.0,21841.0,1,L,27-18,1.0,-2.0,0.0,0.6,Friday,May
"Saturday, May 28",L,28-19,1.0,22249.0,-1,W,28-18,1.0,1.0,0.0,0.6086956521739131,Saturday,May
"Sunday, May 29",W,29-19,1.0,27195.0,1,L,28-19,1.0,-1.0,0.0,0.5957446808510638,Sunday,May
"Monday, May 30",L,29-20,1.0,15191.0,-1,W,29-19,1.0,1.0,0.0,0.6041666666666666,Monday,May
"Tuesday, May 31 (1)",W,30-20,1.0,11756.0,1,L,29-20,1.0,-1.0,0.0,0.5918367346938775,Tuesday,May
"Tuesday, May 31 (2)",L,30-21,1.0,12122.0,-1,W,30-20,1.0,1.0,0.0,0.6,Tuesday,May
"Wednesday, Jun 1",L,30-22,1.0,13211.0,-2,L,30-21,1.0,-1.0,0.0,0.5882352941176471,Wednesday,Jun
"Thursday, Jun 2",L,30-23,1.0,17972.0,-3,L,30-22,1.0,-2.0,0.0,0.5769230769230769,Thursday,Jun
"Friday, Jun 3",W,31-23,1.0,27753.0,1,L,30-23,1.0,-3.0,0.0,0.5660377358490566,Friday,Jun
"Saturday, Jun 4",L,31-24,1.0,36987.0,-1,W,31-23,1.0,1.0,0.0,0.5740740740740741,Saturday,Jun
"Sunday, Jun 5",W,32-24,1.0,34088.0,1,L,31-24,1.0,-1.0,0.0,0.5636363636363636,Sunday,Jun
"Tuesday, Jun 7",L,32-25,1.0,27643.0,-1,W,32-24,1.0,1.0,0.0,0.5714285714285714,Tuesday,Jun
"Wednesday, Jun 8",W,33-25,1.0,22286.0,1,L,32-25,1.0,-1.0,0.0,0.5614035087719298,Wednesday,Jun
"Thursday, Jun 9",L,33-26,1.0,26646.0,-1,W,33-25,1.0,1.0,0.0,0.5689655172413793,Thursday,Jun
"Friday, Jun 10",W,34-26,1.0,23761.0,1,L,33-26,1.0,-1.0,0.0,0.559322033898305,Friday,Jun
"Saturday, Jun 11",W,35-26,1.0,22741.0,2,W,34-26,1.0,1.0,0.0,0.5666666666666667,Saturday,Jun
"Sunday, Jun 12",L,35-27,1.0,25350.0,-1,W,35-26,1.0,2.0,0.0,0.5737704918032787,Sunday,Jun
"Monday, Jun 13",W,36-27,1.0,12749.0,1,L,35-27,1.0,-1.0,0.0,0.5645161290322581,Monday,Jun
"Tuesday, Jun 14",L,36-28,1.0,13019.0,-1,W,36-27,1.0,1.0,0.0,0.5714285714285714,Tuesday,Jun
"Wednesday, Jun 15",W,37-28,1.0,15329.0,1,L,36-28,1.0,-1.0,0.0,0.5625,Wednesday,Jun
"Friday, Jun 17",L,37-29,1.0,26351.0,-1,W,37-28,1.0,1.0,0.0,0.5692307692307692,Friday,Jun
"Saturday, Jun 18",W,38-29,1.0,24338.0,1,L,37-29,1.0,-1.0,0.0,0.5606060606060606,Saturday,Jun
"Sunday, Jun 19",L,38-30,1.0,30690.0,-1,W,38-29,1.0,1.0,0.0,0.5671641791044776,Sunday,Jun
"Tuesday, Jun 21",L,38-31,1.0,22341.0,-2,L,38-30,1.0,-1.0,0.0,0.5588235294117647,Tuesday,Jun
"Wednesday, Jun 22",L,38-32,2.0,25604.0,-3,L,38-31,1.0,-2.0,0.0,0.5507246376811594,Wednesday,Jun
"Thursday, Jun 23",W,39-32,1.0,24929.0,1,L,38-32,2.0,-3.0,0.0,0.5428571428571428,Thursday,Jun
"Friday, Jun 24",L,39-33,1.0,24643.0,-1,W,39-32,1.0,1.0,0.0,0.5492957746478874,Friday,Jun
"Saturday, Jun 25",W,40-33,1.0,24578.0,1,L,39-33,1.0,-1.0,0.0,0.5416666666666666,Saturday,Jun
"Sunday, Jun 26",W,41-33,1.0,28048.0,2,W,40-33,1.0,1.0,0.0,0.547945205479452,Sunday,Jun
"Monday, Jun 27",W,42-33,1.0,12554.0,3,W,41-33,1.0,2.0,0.0,0.5540540540540541,Monday,Jun
"Tuesday, Jun 28 (1)",L,42-34,1.0,12442.0,-1,W,42-33,1.0,3.0,0.0,0.56,Tuesday,Jun
"Tuesday, Jun 28 (2)",W,43-34,1.0,12145.0,1,L,42-34,1.0,-1.0,0.0,0.5526315789473685,Tuesday,Jun
"Wednesday, Jun 29",L,43-35,1.0,12840.0,-1,W,43-34,1.0,1.0,0.0,0.5584415584415584,Wednesday,Jun
"Thursday, Jun 30",L,43-36,1.0,17066.0,-2,L,43-35,1.0,-1.0,1.0,0.5512820512820513,Thursday,Jun
"Friday, Jul 1",W,44-36,1.0,25540.0,1,L,43-36,1.0,-2.0,1.0,0.5443037974683544,Friday,Jul
"Saturday, Jul 2",W,45-36,1.0,20618.0,2,W,44-36,1.0,1.0,1.0,0.55,Saturday,Jul
"Sunday, Jul 3",L,45-37,1.0,24424.0,-1,W,45-36,1.0,2.0,1.0,0.5555555555555556,Sunday,Jul
"Monday, Jul 4",W,46-37,1.0,32483.0,1,L,45-37,1.0,-1.0,0.0,0.5487804878048781,Monday,Jul
"Tuesday, Jul 5",W,47-37,1.0,18566.0,2,W,46-37,1.0,1.0,0.0,0.5542168674698795,Tuesday,Jul
"Wednesday, Jul 6",L,47-38,1.0,18393.0,-1,W,47-37,1.0,2.0,0.0,0.5595238095238095,Wednesday,Jul
"Friday, Jul 8",L,47-39,1.0,30392.0,-2,L,47-38,1.0,-1.0,1.0,0.5529411764705883,Friday,Jul
"Saturday, Jul 9",L,47-40,1.0,35427.0,-3,L,47-39,1.0,-2.0,0.0,0.5465116279069767,Saturday,Jul
"Sunday, Jul 10",W,48-40,1.0,24751.0,1,L,47-40,1.0,-3.0,0.0,0.5402298850574713,Sunday,Jul
"Tuesday, Jul 12",L,48-41,1.0,37183.0,-1,W,48-40,1.0,1.0,0.0,0.5454545454545454,Tuesday,Jul
"Wednesday, Jul 13",W,49-41,1.0,38802.0,1,L,48-41,1.0,-1.0,0.0,0.5393258426966292,Wednesday,Jul
"Thursday, Jul 14",L,49-42,1.0,26907.0,-1,W,49-41,1.0,1.0,1.0,0.5444444444444444,Thursday,Jul
"Friday, Jul 15",L,49-43,1.0,27021.0,-2,L,49-42,1.0,-1.0,0.0,0.5384615384615384,Friday,Jul
"Saturday, Jul 16",W,50-43,1.0,28514.0,1,L,49-43,1.0,-2.0,0.0,0.532608695652174,Saturday,Jul
"Sunday, Jul 17",L,50-44,1.0,23225.0,-1,W,50-43,1.0,1.0,0.0,0.5376344086021505,Sunday,Jul
"Saturday, Jul 23",W,51-44,1.0,34205.0,1,L,50-44,1.0,-1.0,0.0,0.5319148936170213,Saturday,Jul
"Sunday, Jul 24",W,52-44,1.0,23570.0,2,W,51-44,1.0,1.0,0.0,0.5368421052631579,Sunday,Jul
"Tuesday, Jul 26",L,52-45,1.0,28596.0,-1,W,52-44,1.0,2.0,0.0,0.5416666666666666,Tuesday,Jul
"Wednesday, Jul 27",L,52-46,1.0,35914.0,-2,L,52-45,1.0,-1.0,1.0,0.5360824742268041,Wednesday,Jul
"Friday, Jul 29",L,52-47,1.0,43171.0,-3,L,52-46,1.0,-2.0,0.0,0.5306122448979592,Friday,Jul
"Saturday, Jul 30",W,53-47,1.0,39574.0,1,L,52-47,1.0,-3.0,0.0,0.5252525252525253,Saturday,Jul
"Sunday, Jul 31",L,53-48,1.0,37336.0,-1,W,53-47,1.0,1.0,0.0,0.53,Sunday,Jul
"Monday, Aug 1",W,54-48,1.0,20231.0,1,L,53-48,1.0,-1.0,0.0,0.5247524752475248,Monday,Aug
"Tuesday, Aug 2",L,54-49,1.0,23394.0,-1,W,54-48,1.0,1.0,1.0,0.5294117647058824,Tuesday,Aug
"Wednesday, Aug 3",W,55-49,1.0,25044.0,1,L,54-49,1.0,-1.0,0.0,0.5242718446601942,Wednesday,Aug
"Thursday, Aug 4",L,55-50,1.0,39030.0,-1,W,55-49,1.0,1.0,0.0,0.5288461538461539,Thursday,Aug
"Friday, Aug 5",W,56-50,1.0,29593.0,1,L,55-50,1.0,-1.0,0.0,0.5238095238095238,Friday,Aug
"Saturday, Aug 6",W,57-50,1.0,27471.0,2,W,56-50,1.0,1.0,1.0,0.5283018867924528,Saturday,Aug
"Sunday, Aug 7",L,57-51,1.0,26155.0,-1,W,57-50,1.0,2.0,0.0,0.5327102803738317,Sunday,Aug
"Tuesday, Aug 9",L,57-52,1.0,47874.0,-2,L,57-51,1.0,-1.0,0.0,0.5277777777777778,Tuesday,Aug
"Wednesday, Aug 10",L,57-53,2.0,53432.0,-3,L,57-52,1.0,-2.0,0.0,0.5229357798165137,Wednesday,Aug
"Friday, Aug 12",W,58-53,2.0,33459.0,1,L,57-53,2.0,-3.0,0.0,0.5181818181818182,Friday,Aug
"Saturday, Aug 13",L,58-54,2.0,43027.0,-1,W,58-53,2.0,1.0,0.0,0.5225225225225225,Saturday,Aug
"Sunday, Aug 14",L,58-55,2.0,27515.0,-2,L,58-54,2.0,-1.0,1.0,0.5178571428571429,Sunday,Aug
"Monday, Aug 15",W,59-55,2.0,22003.0,1,L,58-55,2.0,-2.0,0.0,0.5132743362831859,Monday,Aug
"Tuesday, Aug 16",W,60-55,2.0,23093.0,2,W,59-55,2.0,1.0,0.0,0.5175438596491229,Tuesday,Aug
"Wednesday, Aug 17",W,61-55,2.0,23543.0,3,W,60-55,2.0,2.0,0.0,0.5217391304347826,Wednesday,Aug
"Friday, Aug 19",W,62-55,2.0,22627.0,4,W,61-55,2.0,3.0,0.0,0.5258620689655172,Friday,Aug
"Saturday, Aug 20",L,62-56,2.0,21781.0,-1,W,62-55,2.0,4.0,0.0,0.5299145299145299,Saturday,Aug
"Sunday, Aug 21",L,62-57,2.0,24802.0,-2,L,62-56,2.0,-1.0,0.0,0.5254237288135594,Sunday,Aug
"Monday, Aug 22",L,62-58,2.0,18595.0,-3,L,62-57,2.0,-2.0,0.0,0.5210084033613446,Monday,Aug
"Tuesday, Aug 23",L,62-59,2.0,32639.0,-4,L,62-58,2.0,-3.0,0.0,0.5166666666666667,Tuesday,Aug
"Wednesday, Aug 24",L,62-60,2.0,27070.0,-5,L,62-59,2.0,-4.0,0.0,0.512396694214876,Wednesday,Aug
"Thursday, Aug 25",L,62-61,2.0,33320.0,-6,L,62-60,2.0,-5.0,0.0,0.5081967213114754,Thursday,Aug
"Friday, Aug 26",W,63-61,2.0,25246.0,1,L,62-61,2.0,-6.0,0.0,0.5040650406504065,Friday,Aug
"Saturday, Aug 27",W,64-61,2.0,27570.0,2,W,63-61,2.0,1.0,0.0,0.5080645161290323,Saturday,Aug
"Sunday, Aug 28",W,65-61,2.0,25285.0,3,W,64-61,2.0,2.0,1.0,0.512,Sunday,Aug
"Monday, Aug 29",W,66-61,2.0,19581.0,4,W,65-61,2.0,3.0,0.0,0.5158730158730159,Monday,Aug
"Tuesday, Aug 30",W,67-61,2.0,19909.0,5,W,66-61,2.0,4.0,0.0,0.5196850393700787,Tuesday,Aug
"Wednesday, Aug 31",L,67-62,2.0,19337.0,-1,W,67-61,2.0,5.0,0.0,0.5234375,Wednesday,Aug
"Friday, Sep 2",L,67-63,2.0,24818.0,-2,L,67-62,2.0,-1.0,0.0,0.5193798449612403,Friday,Sep
"Saturday, Sep 3",L,67-64,2.0,31655.0,-3,L,67-63,2.0,-2.0,1.0,0.5153846153846153,Saturday,Sep
"Sunday, Sep 4",W,68-64,1.0,32305.0,1,L,67-64,2.0,-3.0,0.0,0.5114503816793893,Sunday,Sep
"Monday, Sep 5",L,68-65,2.0,38446.0,-1,W,68-64,1.0,1.0,0.0,0.5151515151515151,Monday,Sep
"Wednesday, Sep 7 (2)",L,68-67,2.0,30157.0,-3,L,68-65,2.0,-1.0,0.0,0.5112781954887218,Wednesday,Sep
"Thursday, Sep 8",W,69-67,2.0,35551.0,1,L,68-67,2.0,-3.0,0.0,0.5037037037037037,Thursday,Sep
"Friday, Sep 9",L,69-68,3.0,18595.0,-1,W,69-67,2.0,1.0,0.0,0.5073529411764706,Friday,Sep
"Saturday, Sep 10",L,69-69,3.0,26073.0,-2,L,69-68,3.0,-1.0,0.0,0.5036496350364964,Saturday,Sep
"Sunday, Sep 11",L,69-70,3.0,19016.0,-3,L,69-69,3.0,-2.0,0.0,0.5,Sunday,Sep
"Tuesday, Sep 13",W,70-70,3.0,19005.0,1,L,69-70,3.0,-3.0,0.0,0.49640287769784175,Tuesday,Sep
"Wednesday, Sep 14",W,71-70,3.0,14927.0,2,W,70-70,3.0,1.0,0.0,0.5,Wednesday,Sep
"Thursday, Sep 15",W,72-70,3.0,16595.0,3,W,71-70,3.0,2.0,0.0,0.5035460992907801,Thursday,Sep
"Friday, Sep 16",L,72-71,3.0,20669.0,-1,W,72-70,3.0,3.0,0.0,0.5070422535211268,Friday,Sep
"Saturday, Sep 17 (1)",L,72-72,3.0,18177.0,-2,L,72-71,3.0,-1.0,0.0,0.5034965034965035,Saturday,Sep
"Saturday, Sep 17 (2)",L,72-73,3.0,24449.0,-3,L,72-72,3.0,-2.0,0.0,0.5,Saturday,Sep
"Sunday, Sep 18",W,73-73,3.0,19601.0,1,L,72-73,3.0,-3.0,1.0,0.496551724137931,Sunday,Sep
"Monday, Sep 19",L,73-74,3.0,12168.0,-1,W,73-73,3.0,1.0,0.0,0.5,Monday,Sep
"Tuesday, Sep 20",L,73-75,3.0,14508.0,-2,L,73-74,3.0,-1.0,0.0,0.4965986394557823,Tuesday,Sep
"Wednesday, Sep 21",L,73-76,3.0,13952.0,-3,L,73-75,3.0,-2.0,0.0,0.49324324324324326,Wednesday,Sep
"Thursday, Sep 22",L,73-77,3.0,12951.0,-4,L,73-76,3.0,-3.0,0.0,0.4899328859060403,Thursday,Sep
"Friday, Sep 23",L,73-78,3.0,24896.0,-5,L,73-77,3.0,-4.0,0.0,0.4866666666666667,Friday,Sep
"Saturday, Sep 24",W,74-78,3.0,30959.0,1,L,73-78,3.0,-5.0,0.0,0.48344370860927155,Saturday,Sep
"Sunday, Sep 25",L,74-79,3.0,24133.0,-1,W,74-78,3.0,1.0,0.0,0.4868421052631579,Sunday,Sep
"Tuesday, Sep 27",W,75-79,3.0,23647.0,1,L,74-79,3.0,-1.0,0.0,0.48366013071895425,Tuesday,Sep
"Wednesday, Sep 28",W,76-79,2.0,22332.0,2,W,75-79,3.0,1.0,0.0,0.487012987012987,Wednesday,Sep
"Thursday, Sep 29",L,76-80,3.0,23397.0,-1,W,76-79,2.0,2.0,0.0,0.49032258064516127,Thursday,Sep
"Friday, Sep 30",W,77-80,3.0,18505.0,1,L,76-80,3.0,-1.0,0.0,0.48717948717948717,Friday,Sep
"Saturday, Oct 1",L,77-81,3.0,18307.0,-1,W,77-80,3.0,1.0,0.0,0.49044585987261147,Saturday,Oct
"Sunday, Oct 2",L,77-82,3.0,20105.0,-2,L,77-81,3.0,-1.0,0.0,0.4873417721518987,Sunday,Oct
"Monday, Oct 3",L,77-83,3.0,22891.0,-3,L,77-82,3.0,-2.0,0.0,0.48427672955974843,Monday,Oct
"Tuesday, Oct 4",L,77-84,3.0,24884.0,-4,L,77-83,3.0,-3.0,0.0,0.48125,Tuesday,Oct
"Wednesday, Oct 5",W,78-84,3.0,18918.0,1,L,77-84,3.0,-4.0,0.0,0.4782608695652174,Wednesday,Oct
"Monday, Apr 6",L,0-1,3.0,45030.0,-1,,0-0,,,,,Monday,Apr
"Wednesday, Apr 8",L,0-2,4.0,28280.0,-2,L,0-1,3.0,-1.0,0.0,0.0,Wednesday,Apr
"Thursday, Apr 9",L,0-3,4.0,26782.0,-3,L,0-2,4.0,-2.0,0.0,0.0,Thursday,Apr
"Friday, Apr 10",W,1-3,4.0,38533.0,1,L,0-3,4.0,-3.0,0.0,0.0,Friday,Apr
"Saturday, Apr 11",L,1-4,4.0,22317.0,-1,W,1-3,4.0,1.0,0.0,0.25,Saturday,Apr
"Sunday, Apr 12",L,1-5,5.0,23057.0,-2,L,1-4,4.0,-1.0,0.0,0.2,Sunday,Apr
"Monday, Apr 13",L,1-6,5.0,40123.0,-3,L,1-5,5.0,-2.0,0.0,0.16666666666666666,Monday,Apr
"Wednesday, Apr 15",W,2-6,5.0,21362.0,1,L,1-6,5.0,-3.0,0.0,0.14285714285714285,Wednesday,Apr
"Thursday, Apr 16",W,3-6,5.0,17449.0,2,W,2-6,5.0,1.0,0.0,0.25,Thursday,Apr
"Friday, Apr 17",W,4-6,3.0,21307.0,3,W,3-6,5.0,2.0,0.0,0.3333333333333333,Friday,Apr
"Saturday, Apr 18",L,4-7,5.0,23949.0,-1,W,4-6,3.0,3.0,1.0,0.4,Saturday,Apr
"Sunday, Apr 19",W,5-7,3.0,17923.0,1,L,4-7,5.0,-1.0,0.0,0.36363636363636365,Sunday,Apr
"Monday, Apr 20",L,5-8,4.0,20393.0,-1,W,5-7,3.0,1.0,0.0,0.4166666666666667,Monday,Apr
"Tuesday, Apr 21",L,5-9,5.0,20990.0,-2,L,5-8,4.0,-1.0,0.0,0.38461538461538464,Tuesday,Apr
"Wednesday, Apr 22",W,6-9,4.0,24721.0,1,L,5-9,5.0,-2.0,0.0,0.35714285714285715,Wednesday,Apr
"Friday, Apr 24",L,6-10,5.0,25215.0,-1,W,6-9,4.0,1.0,0.0,0.4,Friday,Apr
"Saturday, Apr 25",W,7-10,4.0,33566.0,1,L,6-10,5.0,-1.0,0.0,0.375,Saturday,Apr
"Sunday, Apr 26",W,8-10,4.0,35242.0,2,W,7-10,4.0,1.0,0.0,0.4117647058823529,Sunday,Apr
"Monday, Apr 27",L,8-11,4.0,18054.0,-1,W,8-10,4.0,2.0,0.0,0.4444444444444444,Monday,Apr
"Tuesday, Apr 28",W,9-11,4.0,18169.0,1,L,8-11,4.0,-1.0,0.0,0.42105263157894735,Tuesday,Apr
"Wednesday, Apr 29",L,9-12,4.0,19447.0,-1,W,9-11,4.0,1.0,0.0,0.45,Wednesday,Apr
"Thursday, Apr 30",W,10-12,3.0,20736.0,1,L,9-12,4.0,-1.0,0.0,0.42857142857142855,Thursday,Apr
"Friday, May 1",W,11-12,3.0,22794.0,2,W,10-12,3.0,1.0,0.0,0.45454545454545453,Friday,May
"Saturday, May 2",W,12-12,3.0,30551.0,3,W,11-12,3.0,2.0,0.0,0.4782608695652174,Saturday,May
"Sunday, May 3",W,13-12,3.0,22423.0,4,W,12-12,3.0,3.0,0.0,0.5,Sunday,May
"Monday, May 4",W,14-12,3.0,20605.0,5,W,13-12,3.0,4.0,0.0,0.52,Monday,May
"Tuesday, May 5",L,14-13,3.0,18135.0,-1,W,14-12,3.0,5.0,0.0,0.5384615384615384,Tuesday,May
"Wednesday, May 6",W,15-13,3.0,18866.0,1,L,14-13,3.0,-1.0,0.0,0.5185185185185185,Wednesday,May
"Thursday, May 7",W,16-13,3.0,22379.0,2,W,15-13,3.0,1.0,0.0,0.5357142857142857,Thursday,May
"Friday, May 8",W,17-13,3.0,19102.0,3,W,16-13,3.0,2.0,0.0,0.5517241379310345,Friday,May
